Date,Cash,MCT,DBS,STEng,SIA,SIA_Relative
6/2/2015,1,1.207413,16.824432,2.98004,10.700655,0.997532796
9/2/2015,1,1.203483,16.885204,2.971352,10.444826,0.976092211
10/2/2015,1,1.199546,16.92861,2.98004,10.744763,1.028716323
11/2/2015,1,1.195616,16.93729,2.988728,10.762405,1.001641916
12/2/2015,1,1.18382,16.798388,2.997416,10.612438,0.986065661
13/2/2015,1,1.179883,16.737619,3.006104,10.718299,1.009975182
16/2/2015,1,1.175953,16.80707,2.988728,10.762405,1.004115019
17/2/2015,1,1.191679,16.833115,2.988728,10.700655,0.994262435
18/2/2015,1,1.199546,16.885204,2.997416,10.815337,1.010717288
23/2/2015,1,1.187749,17.058825,3.006104,10.585974,0.978792801
24/2/2015,1,1.207413,17.163006,3.084298,10.656546,1.006666557
25/2/2015,1,1.219217,17.206411,3.119051,10.665369,1.000827942
26/2/2015,1,1.227076,17.093555,3.084298,10.674191,1.000827163
27/2/2015,1,1.227076,16.989378,3.049545,10.585974,0.991735486
2/3/2015,1,1.223146,16.737619,3.014792,10.638904,1.005000012
3/3/2015,1,1.223146,16.720257,3.07561,10.585974,0.995024863
4/3/2015,1,1.227076,16.902563,3.049545,10.612438,1.002499912
5/3/2015,1,1.203483,16.911247,3.058233,10.45365,0.985037557
6/3/2015,1,1.215279,17.076191,3.092986,10.383078,0.993249057
9/3/2015,1,1.195616,17.128281,3.049545,10.250752,0.98725561
10/3/2015,1,1.195616,17.1196,3.058233,10.197822,0.994836476
11/3/2015,1,1.191679,17.006744,3.023481,10.250752,1.005190324
12/3/2015,1,1.203483,16.945972,3.014792,10.497757,1.024096281
13/3/2015,1,1.21135,16.980698,3.014792,10.250752,0.976470688
16/3/2015,1,1.207413,17.084873,2.997416,10.612438,1.03528385
17/3/2015,1,1.199546,17.154325,2.98004,10.40954,0.980881113
18/3/2015,1,1.207413,17.275866,2.98004,10.621262,1.020339227
19/3/2015,1,1.223146,17.32795,2.988728,10.718299,1.009136108
20/3/2015,1,1.231013,17.414766,2.988728,10.718299,1
23/3/2015,1,1.234943,17.544981,2.988728,10.674191,0.995884795
24/3/2015,1,1.24281,17.518938,3.032169,10.541864,0.987603089
25/3/2015,1,1.258543,17.510258,3.040857,10.585974,1.004184269
26/3/2015,1,1.24281,17.666523,3.058233,10.391896,0.981666496
27/3/2015,1,1.254606,17.640474,3.058233,10.541864,1.014431245
30/3/2015,1,1.258543,17.692566,3.040857,10.585974,1.004184269
31/3/2015,1,1.258543,17.675205,3.023481,10.541864,0.995833166
1/4/2015,1,1.258543,17.701248,3.023481,10.700655,1.015062896
2/4/2015,1,1.258543,17.770699,3.049545,10.577153,0.988458464
6/4/2015,1,1.246747,17.753334,3.058233,10.541864,0.996663658
7/4/2015,1,1.262473,17.640474,3.066921,10.444826,0.990794987
8/4/2015,1,1.278207,17.770699,3.049545,10.400719,0.995777144
9/4/2015,1,1.29787,17.727289,3.058233,10.321323,0.992366297
10/4/2015,1,1.305737,17.796741,3.049545,10.356611,1.003418942
13/4/2015,1,1.278207,17.709929,3.101674,10.515402,1.015332332
14/4/2015,1,1.305737,18.005095,3.21462,10.638904,1.011744867
15/4/2015,1,1.301807,18.187403,3.275437,10.603618,0.996683305
16/4/2015,1,1.29394,18.230812,3.292814,10.497757,0.990016521
17/4/2015,1,1.282144,18.395754,3.31019,10.533044,1.003361385
20/4/2015,1,1.282144,18.248175,3.284125,10.585974,1.005025138
21/4/2015,1,1.27034,18.039822,3.275437,10.612438,1.002499912
22/4/2015,1,1.286073,18.126635,3.231997,10.665369,1.004987638
23/4/2015,1,1.262473,18.17004,3.266749,10.709477,1.004135628
24/4/2015,1,1.24281,18.300261,3.275437,10.718299,1.000823756
27/4/2015,1,1.23888,18.397131,3.152498,10.683012,0.99670778
28/4/2015,1,1.235142,18.485201,3.143718,10.753585,1.006606096
29/4/2015,1,1.227172,18.53804,3.134936,10.753585,1
30/4/2015,1,1.227172,18.573267,3.178843,10.762405,1.000820192
4/5/2015,1,1.219203,18.335487,3.117373,10.568331,0.981967413
5/5/2015,1,1.231153,18.229807,3.126155,10.709477,1.013355562
6/5/2015,1,1.231153,18.361908,3.143718,10.45365,0.976112092
7/5/2015,1,1.223184,18.361908,3.152498,10.383078,0.993249057
8/5/2015,1,1.211233,18.53804,3.205187,10.383078,1
11/5/2015,1,1.223184,18.608492,3.222749,10.444826,1.005946984
12/5/2015,1,1.215214,18.370716,3.187624,10.277215,0.983952725
13/5/2015,1,1.215214,18.43236,3.16128,10.29486,1.001716905
14/5/2015,1,1.227172,18.546848,3.152498,10.268394,0.997429203
15/5/2015,1,1.231153,18.485201,3.152498,10.330146,1.006013793
18/5/2015,1,1.231153,18.53804,3.126155,10.338968,1.000854005
19/5/2015,1,1.231153,18.53804,3.16128,10.215466,0.988054707
20/5/2015,1,1.227172,18.397131,3.16128,10.259573,1.004317669
21/5/2015,1,1.219203,18.397131,3.134936,10.206644,0.994841013
22/5/2015,1,1.223184,18.344296,3.16128,10.277215,1.006914222
25/5/2015,1,1.223184,18.361908,3.108592,10.24193,0.996566677
26/5/2015,1,1.227172,18.300262,3.091029,10.215466,0.997416112
27/5/2015,1,1.215214,18.018444,3.064685,10.074319,0.986183009
28/5/2015,1,1.219203,17.912767,3.029561,10.083141,1.000875692
29/5/2015,1,1.239123,17.877541,2.985654,10.012567,0.993000792
2/6/2015,1,1.219203,17.481241,2.976872,9.712631,0.970044046
3/6/2015,1,1.231153,17.710213,2.968091,9.70381,0.999091801
4/6/2015,1,1.235142,17.947992,2.915403,9.562662,0.985454373
5/6/2015,1,1.219203,17.798281,2.924184,9.509732,0.99446493
8/6/2015,1,1.203263,17.683794,2.89784,9.483269,0.997217272
9/6/2015,1,1.171393,17.983219,2.89784,9.38623,0.989767347
10/6/2015,1,1.167404,18.43236,2.950528,9.359765,0.997180444
11/6/2015,1,1.171393,18.670141,2.932966,9.280371,0.991517522
12/6/2015,1,1.171393,18.476393,2.915403,9.315659,1.003802434
15/6/2015,1,1.147484,18.27384,2.871496,9.342121,1.002840593
16/6/2015,1,1.143495,18.088902,2.862715,9.192153,0.983947114
17/6/2015,1,1.139515,18.300262,2.880277,9.315659,1.013436025
18/6/2015,1,1.155454,18.124126,2.889059,9.368588,1.005681724
19/6/2015,1,1.167404,18.212194,2.880277,9.245084,0.986817224
22/6/2015,1,1.163423,18.388327,2.853933,9.280371,1.003816839
23/6/2015,1,1.167404,18.414745,2.906621,9.306836,1.002851718
24/6/2015,1,1.179354,18.317873,2.968091,9.518554,1.022748655
25/6/2015,1,1.175374,18.361908,2.950528,9.368588,0.984244876
26/6/2015,1,1.175374,18.071285,2.941747,9.342121,0.997174921
29/6/2015,1,1.167404,17.877541,2.889059,9.289191,0.994334263
30/6/2015,1,1.167404,18.221001,2.89784,9.465625,1.018993473
1/7/2015,1,1.171393,18.053675,2.889059,9.483269,1.001864008
2/7/2015,1,1.163423,18.053675,2.871496,9.659701,1.018604555
3/7/2015,1,1.167404,18.414745,2.889059,9.871421,1.021917863
6/7/2015,1,1.171393,18.423552,2.89784,9.827312,0.995531646
7/7/2015,1,1.171393,18.476393,2.906621,9.92435,1.009874318
8/7/2015,1,1.155454,18.185772,2.871496,9.774381,0.984888784
9/7/2015,1,1.147484,18.062481,2.862715,9.659701,0.988267288
10/7/2015,1,1.155454,18.17697,2.906621,9.527377,0.986301439
13/7/2015,1,1.159434,18.449972,2.941747,9.668523,1.014814781
14/7/2015,1,1.155454,18.53804,2.95931,9.783204,1.011861274
15/7/2015,1,1.159434,18.670141,2.968091,9.8626,1.008115542
16/7/2015,1,1.171393,18.828659,2.985654,9.968459,1.010733377
20/7/2015,1,1.163423,18.819855,2.994435,10.34779,1.038053123
21/7/2015,1,1.163423,18.872696,3.020779,10.321323,0.997442256
22/7/2015,1,1.147484,18.775818,2.976872,9.994925,0.968376341
23/7/2015,1,1.147484,18.828659,2.95931,10.074319,1.007943431
24/7/2015,1,1.163423,18.846275,2.950528,10.259573,1.018388737
27/7/2015,1,1.139515,18.564461,2.924184,10.091963,0.983663063
28/7/2015,1,1.131545,18.485201,2.89784,10.021388,0.993006811
29/7/2015,1,1.127834,18.494009,2.915403,10.074319,1.005281803
30/7/2015,1,1.119749,18.238611,2.880277,9.59795,0.952714521
31/7/2015,1,1.103577,18.033081,2.880277,9.474446,0.987132252
